,index,RMSE,MAE,R2
0,RandomForest,19311.128363372936,16137.666666666666,0.9868413215609115
1,LinearRegression,16221.040790693221,12433.0,0.9907155879704752
2,LSTM,16030.061863053847,13262.666666666666,0.9909329216289852
3,ARIMA,14959.8934688709,11265.335747678604,0.9835642876176819
4,XGBoost,13574.854581787116,11649.75,0.993497694881536
